latent_idx,model_a_norm,model_b_norm,relative_norm
106,0.14087087,0.17646772,0.55608654
107,0.21616067,1.8680593,0.896287
108,0.15552631,1.1778423,0.88335836
109,0.10768754,0.056315243,0.34337983
110,0.8668854,0.17227952,0.1657865
111,0.9782602,1.0785595,0.5243822
112,1.1157618,0.9452973,0.45864642
113,1.0442226,1.1244749,0.5185025
114,0.09762277,0.063658364,0.39470434
115,1.0328376,0.98615825,0.48843998
116,0.8540368,0.8170493,0.48893312
117,0.91839474,0.91033584,0.4977966
118,0.34360975,1.8047863,0.8400622
119,1.2263535,1.074955,0.46710595
120,0.5540275,0.859611,0.608084
121,1.8889723,0.19195324,0.09224417
122,0.94578624,1.0763155,0.5322756
123,1.381522,0.33178443,0.19365154
124,0.9348098,1.143091,0.55011815
125,0.08530339,0.25615668,0.7501805
126,0.4779242,1.6733845,0.7778449
127,0.1761729,1.7125709,0.9067249
128,0.12068694,0.24372028,0.668813
129,0.25788736,1.9558553,0.8835061
130,0.8485302,0.73430306,0.46391687
131,0.84364736,0.9854482,0.5387625
132,0.20597726,0.5000682,0.70826626
133,0.9346474,0.97436196,0.5104019
134,0.9211383,0.86549044,0.4844266
135,0.16198564,1.0199864,0.86295307
136,0.86869085,0.78140163,0.4735502
137,1.0822339,1.0302417,0.48769403
138,0.23695129,1.5018418,0.86372656
139,0.9343394,0.71537757,0.43363655
140,0.9230457,1.0487959,0.5318865
141,0.954005,1.0414108,0.52190167
142,1.5054522,0.15223883,0.09183788
143,1.0177361,1.2245845,0.54612374
144,1.14934,0.9537666,0.4535037
145,1.0784899,1.0563899,0.49482408
146,0.19503549,0.2020003,0.50877106
147,0.16211362,0.06198524,0.27659774
148,1.1139737,0.14960873,0.11840045
149,0.17246796,0.09703951,0.36006242
150,0.94959795,0.86411196,0.47643337
151,0.8091542,0.7114232,0.46786386
152,0.8767116,0.71703297,0.4499046
153,0.87969553,0.7754107,0.46849602
154,0.14979133,0.9633557,0.8654344
155,0.06751742,0.10862193,0.6166818
156,0.13658723,0.927638,0.87165576
157,0.070206925,0.055011224,0.43932307
158,1.0812632,1.060225,0.49508798
159,0.9269898,0.9240443,0.49920434
160,0.2625505,0.11986581,0.31344324
161,0.6106825,0.77907073,0.56058204
162,0.20866846,1.0260173,0.83099467
163,0.8551403,0.9789746,0.5337586
164,0.8945651,0.94403976,0.5134544
165,0.76156074,0.7027683,0.47992516
166,0.19497928,1.4975729,0.8848016
167,0.83716834,0.8602397,0.50679606
168,1.0371231,0.9407691,0.47564226
169,1.5583917,0.18573317,0.10649075
170,0.9513759,0.9205006,0.49175283
171,1.3706787,0.21280064,0.13438801
172,0.9252777,0.8839259,0.48857182
173,0.7476324,0.7636345,0.50529426
174,1.1487259,0.89842045,0.4388648
175,0.24323326,0.56813186,0.70021725
176,0.98302466,0.95971775,0.49400157
177,1.1168112,1.1345861,0.50394756
178,1.2002268,1.2827184,0.51661164
179,0.95093656,0.98516685,0.50884
180,0.8018913,1.0471096,0.566311
181,1.8324467,0.1765668,0.08788732
182,2.013571,0.27849093,0.121502355
183,0.7498628,0.8643435,0.53546035
184,1.7644653,0.18892115,0.09671468
185,0.9675196,1.027592,0.5150549
186,0.80635333,0.8864922,0.52366984
187,1.2939236,1.1690263,0.47464478
188,0.88688385,0.8555615,0.49101195
189,1.3521955,1.159564,0.46165407
190,0.8738216,0.930568,0.51572454
191,0.18014352,1.3480715,0.8821216
192,0.04225539,0.37907326,0.89970917
193,1.1467706,0.93895453,0.45018137
194,0.26567757,0.51472443,0.6595632
195,0.99325997,0.91312027,0.4789812
196,1.0560607,1.076859,0.50487554
197,0.84235376,0.86956495,0.50794756
198,1.2149811,0.19161703,0.13622728
199,0.9388401,0.9412784,0.50064844
200,0.76241916,0.8064719,0.51403946
201,0.9108831,0.8684669,0.48808098
202,0.17763983,1.8164908,0.91091865
203,0.25738543,1.2811524,0.8327078
204,0.8484672,1.0654293,0.55668074
205,0.6095273,1.0680425,0.6366605
206,0.9282133,1.0588309,0.5328673
207,1.6970757,0.30516732,0.15241273
208,0.7653594,0.7959315,0.50979066
209,1.5239793,0.23820175,0.1351744
210,0.81946045,0.8110666,0.49742606
211,0.8890435,0.75708944,0.45992
212,0.20132796,1.4568205,0.8785827
213,0.15372804,0.64129186,0.8066363
